Star Mass (solar masses): 1.407, Star Radius (solar radii): 1.381
------------------------------------------------------------------------------------------
Time (Days),Brightness (solar luminosities),Brightness uncertainty (solar luminosities),Brightness (fractional),Brightness uncertainty (fractional)
6.32741, 3.92313806, 4.013E-5, 0.99999169, 1.023E-5
6.32741, 3.92314250, 3.534E-5, 0.99999283, 9.008E-6
6.32741, 3.92314224, 3.623E-5, 0.99999276, 9.234E-6
6.32741, 3.92313833, 3.544E-5, 0.99999176, 9.033E-6
6.32741, 3.92313599, 3.516E-5, 0.99999117, 8.963E-6
6.32741, 3.92313975, 4.097E-5, 0.99999212, 1.044E-5
6.32741, 3.92313780, 3.704E-5, 0.99999163, 9.442E-6
6.32741, 3.92313695, 3.572E-5, 0.99999141, 9.104E-6
6.32741, 3.92314232, 3.926E-5, 0.99999278, 1.001E-5
6.32741, 3.92313626, 4.033E-5, 0.99999124, 1.028E-5
6.32741, 3.92313714, 3.702E-5, 0.99999146, 9.436E-6
6.32741, 3.92314200, 3.909E-5, 0.99999270, 9.965E-6
6.32741, 3.92314102, 3.540E-5, 0.99999245, 9.023E-6
6.32741, 3.92314182, 3.771E-5, 0.99999265, 9.613E-6
6.32741, 3.92313615, 4.102E-5, 0.99999121, 1.046E-5
6.32741, 3.92313935, 3.955E-5, 0.99999202, 1.008E-5
6.32741, 3.92314045, 4.121E-5, 0.99999230, 1.050E-5
6.32741, 3.92313858, 3.912E-5, 0.99999183, 9.971E-6
6.32741, 3.92314261, 3.678E-5, 0.99999285, 9.374E-6
6.32741, 3.92314057, 3.737E-5, 0.99999233, 9.525E-6
6.32741, 3.92313945, 4.206E-5, 0.99999205, 1.072E-5
6.32741, 3.92313617, 3.773E-5, 0.99999121, 9.618E-6
6.32741, 3.92313825, 3.791E-5, 0.99999174, 9.662E-6
6.32741, 3.92313845, 3.463E-5, 0.99999179, 8.827E-6
6.32741, 3.92314000, 4.121E-5, 0.99999219, 1.050E-5
6.32741, 3.92313968, 4.130E-5, 0.99999211, 1.053E-5
6.32741, 3.92314038, 4.001E-5, 0.99999229, 1.020E-5
6.32741, 3.92314130, 3.654E-5, 0.99999252, 9.315E-6
6.32741, 3.92313623, 4.280E-5, 0.99999123, 1.091E-5
6.32741, 3.92313895, 3.810E-5, 0.99999192, 9.711E-6
6.32741, 3.92313612, 3.634E-5, 0.99999120, 9.263E-6
6.32741, 3.92314231, 3.880E-5, 0.99999278, 9.890E-6
6.32741, 3.92313556, 3.689E-5, 0.99999106, 9.404E-6
6.32741, 3.92313756, 3.692E-5, 0.99999157, 9.411E-6
